singRecp,singRecp-href,Overview,Profile,Rating,Ingred1,Ingred2,Ingred3,Ingred4,Ingred5,Ingred6,Ingred7,Ingred8,Ingred9,Ingred10,Ingred11,Ingred12,Procedure
"Racer 5 Clone","https://beerrecipes.org/Recipe/2260/racer-5-clone.html","Beer Style: American IPA (14B)

Recipe Type: all-grain

Yield: 5.5 US gallons","Original Gravity: 1.072 (17.3° P)
 Final Gravity: 1.014 SG (3.5° P)
 Alcohol by Vol: 7.7%
 Color SRM: 6.8  Color Sample 
 Bitterness IBU: 62.1
 Recipe Type: all-grain
 Yield: 5.50 US Gallons","5.0 stars based on 1 votes

No reviews","12 lbs 8.0 oz - Pale Malt (2 Row) US (2.0 SRM) (Grain)","1 lbs 12.0 oz - Wheat Malt, Ger (2.0 SRM) (Grain)","12.0 oz - Caramel/Crystal Malt - 40L (40.0 SRM) (Grain)","8.0 oz - Cara-Pils/Dextrine (2.0 SRM) (Grain)","0.5 oz - Columbus (Tomahawk) [14.6%] - Boil 60 min (Hops)","1.0 oz - Cascade [5.4%] - Boil 20 min (Hops)","1.0 oz - Columbus (Tomahawk) [14.6%] - Boil 20 min (Hops)","0.5 oz - Cascade [5.4%] - Boil 10 min (Hops)","0.5 oz - Columbus (Tomahawk) [14.6%] - Boil 10 min (Hops)","1 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast)","0.5 oz - Amarillo Gold [8.2%] - Dry Hop 7 days (Hops)","0.5 oz - Centennial [10.6%] - Dry Hop 7 days (Hops)","null"
"Watson Cider","https://beerrecipes.org/Recipe/1896/watson-cider.html","Beer Style: Applewine (28C)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.068 (16.6° P)
 Final Gravity: 1.007 SG (1.9° P)
 Alcohol by Vol: 8.1%
 Color SRM: 17.7  Color Sample 
 Bitterness IBU: 0.0
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

1 reviews, Read the reviews","2 lbs - Brown Sugar, Dark (50.0 SRM) (Grain)","1 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast)","1.00 - Cinnamon Stick (Primary 3 weeks) (Misc)","41 lbs 12.0 oz - Apple Juice (2.0 SRM) (Grain)","null","null","null","null","null","null","null","null","null"
"Downtown Dirty Brown Ale v2","https://beerrecipes.org/Recipe/2417/downtown-dirty-brown-ale-v2.html","Beer Style: American Brown Ale (10C)

Recipe Type: all-grain

Yield: 10 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","14 lbs - Pale Malt (2 Row) US (2.0 SRM) (Grain)","1 lbs 11.2 oz - Chocolate Malt (350.0 SRM) (Grain)","1 lbs 10.1 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain)","1 lbs 10.1 oz - Victory Malt (25.0 SRM) (Grain)","1 lbs - Oats, Flaked (1.0 SRM) (Grain)","1.9 oz - Centennial [9.2%] - First Wort (Hops)","1.9 oz - Styrian Goldings [5.4%] - Boil 5 min (Hops)","2 pkgs - California Ale (White Labs #WLP001) (Yeast)","null","null","null","null","null"
"WC Working Mans English MIld","https://beerrecipes.org/Recipe/3974/wc-working-mans-english-mild.html","Beer Style: Mild (11A)

Recipe Type: partial mash

Yield: 5 US gallons","Original Gravity: 1.058 (14.1° P)
 Final Gravity: 1.018 SG (4.6° P)
 Alcohol by Vol: 5.2%
 Color SRM: 19.7  Color Sample 
 Bitterness IBU: 18.8
 Recipe Type: partial mash
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

1 reviews, Read the reviews","5 lbs - Pale Malt, Maris Otter (3.0 SRM) (Grain)","1 lbs - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain)","8.0 oz - English roasted barley (3.0 SRM) (Grain)","8.0 oz - Pilsner (2 Row) UK (1.0 SRM) (Grain)","7.0 oz - Acid Malt (3.0 SRM) (Grain)","4.0 oz - Chocolate Malt (450.0 SRM) (Grain)","2 lbs - Amber Dry Extract (12.5 SRM) (Grain)","1.0 oz - Goldings, East Kent [5.0%] - Boil 60 min (Hops)","1 pkgs - English Ale (White Labs #WLP002) (Yeast)","null","null","null","null"
"Velvet Stout","https://beerrecipes.org/Recipe/4638/velvet-stout.html","Beer Style: Sweet Stout (13B)

Recipe Type: all-grain

Yield: 3.43 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","5 lbs 11.7 oz - Pale Malt, Maris Otter (3.0 SRM) (Grain)","7.1 oz - Black (Patent) Malt (500.0 SRM) (Grain)","7.1 oz - Chocolate Malt (350.0 SRM) (Grain)","6.3 oz - Caramel/Crystal Malt -120L (120.0 SRM) (Grain)","0.9 oz - Goldings, East Kent [5.4%] - Boil 60 min (Hops)","0.50 - Whirlfloc Tablet (Boil 15 min) (Misc)","15.9 oz - Milk Sugar (Lactose) [Boil for 15 min] (0.0 SRM) (Grain)","0.6 oz - Styrian Goldings [5.4%] - Boil 0 min (Hops)","1 pkgs - West Yorkshire (Wyeast #1469) (Yeast)","null","null","null","Beer Kits make 5 gallons of quality homebrew and includes: instructions, freshly-milled malted barley, extract, muslin steeping bag(s), brewer's yeast, hops, carbonation sugar and 60 easy-peel labels. All-Grain kits do not include steeping bag(s) or extract."
"Velvet Elvis","https://beerrecipes.org/Recipe/1918/velvet-elvis.html","Beer Style: Robust Porter (12B)

Recipe Type: all-grain

Yield: 5.5 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","4 lbs 4.1 oz - Maris Otter (Crisp) (4.0 SRM) (Grain)","3 lbs 6.5 oz - Mild Malt (4.0 SRM) (Grain)","1 lbs 11.9 oz - Caramel/Crystal Malt - 60L (60.0 SRM) (Grain)","1 lbs 4.4 oz - Oats, Flaked (1.0 SRM) (Grain)","10.2 oz - Chocolate Malt (450.0 SRM) (Grain)","1.4 oz - Goldings, East Kent [5.4%] - Boil 60 min (Hops)","13.00 oz - Powdered Peanut Butter (Boil 10 min) (Misc)","1.00 - Whirlfloc Tablet (Boil 5 min) (Misc)","1 pkgs - Belgian Ale Yeast (Wyeast Labs #1214) (Yeast)","null","null","null","Beer Kits make 5 gallons of quality homebrew and includes: instructions, freshly-milled malted barley, extract, muslin steeping bag(s), brewer's yeast, hops, carbonation sugar and 60 easy-peel labels. All-Grain kits do not include steeping bag(s) or extract."
"Bri's Summer Citra Lust Amber","https://beerrecipes.org/Recipe/7852/bris-summer-citra-lust-amber.html","Beer Style: American Amber Ale (10B)

Recipe Type: all-grain

Yield: 5 US gallons","null","5.0 stars based on 2 votes

1 reviews, Read the reviews","3 lbs - Amber Malt -TF (22.0 SRM) (Grain)","3 lbs - Munich Malt (9.0 SRM) (Grain)","2 lbs - Pale Malt (2 Row) Can (2.0 SRM) (Grain)","2 lbs - Vienna Malt (3.5 SRM) (Grain)","1.5 oz - US Hallertau Pellets [4.6%] - Boil 60 min (Hops)","0.5 oz - Citra [12.0%] - Boil 15 min (Hops)","0.5 oz - Citra [12.0%] - Boil 10 min (Hops)","1 pkgs - Kolsch Yeast (Wyeast Labs #2565) (Yeast)","2.0 oz - Citra [12.0%] - Dry Hop 5 days (Hops)","null","null","null","Beer Kits make 5 gallons of quality homebrew and includes: instructions, freshly-milled malted barley, extract, muslin steeping bag(s), brewer's yeast, hops, carbonation sugar and 60 easy-peel labels. All-Grain kits do not include steeping bag(s) or extract."
"Brown-Haired Pumpkin Ale (extract)","https://beerrecipes.org/Recipe/3282/brown-haired-pumpkin-ale-extract.html","Beer Style: Fruit Beer (20A)

Recipe Type: extract

Yield: 5 US gallons","null","5.0 stars based on 1 votes

1 reviews, Read the reviews","8.0 oz - Special B Malt (180.0 SRM) (Grain)","3 lbs 4.8 oz - Light Liquid Extract (3.0 SRM) (Grain)","3 lbs 4.8 oz - Munich Liquid Extract (8.0 SRM) (Grain)","1.00 - Canned Pumpkin (Boil 60 min) (Misc)","1.0 oz - Sterling [7.0%] - Boil 60 min (Hops)","1.00 tsp - Pumpkin Pie Spice (Boil 0 min) (Misc)","1 pkgs - Whitbread Ale (Wyeast Labs #1099) (Yeast)","0.75 tsp - Pumpkin Pie Spice to taste (Bottling 2 weeks) (Misc)","null","null","null","null","null"
"Nobs Cider","https://beerrecipes.org/Recipe/906/nobs-cider.html","Beer Style: Common Cider (27A)

Recipe Type: other

Yield: 5 US gallons","Source:
Andy Phillips","5.0 stars based on 1 votes

No reviews","1 UK gallon, apple juice (i.e., 1--1/4 U.S. gallon)","3/4 pound, chopped muscatel raisins","1/2 ounce, crushed ginger root","2 inch stick of cinnamon","juice of 1 orange","null","null","null","null","null","null","null","You may try crushing the apples yourself using a juice press. You may then try partly to sterilize in some way. Don't try to sterilize by heating: this imparts a cooked taste to the cider. You could try a very small quantity of sodium metabisulphite for a few hours (see recipes for wine-making from fruit). Pitch the yeast (and I would add some yeast nutrient) and ferment for about 2-4 weeks. This can be drunk immediately (""rough cider"") or racked into secondary for up to 3 months. Don't worry about the clarity: it's unlikely to drop clear, due to all the pectins. If you're really confident about your sterilization, cider matures well in bottle. 



One way of cutting down on contamination would be to boil a small quantity of the juice and make up a starter with the yeast - this large inoculum should compete out any unwanted strains, and the cooked taste from the small volume of starter won't be noticeable."
"Czech Dark Larger","https://beerrecipes.org/Recipe/5810/czech-dark-larger.html","Beer Style: Munich Dunkel (4B)

Recipe Type: all-grain

Yield: 5 US gallons","null","5.0 stars based on 2 votes

2 reviews, Read the reviews","5 lbs - Best Malz Munich Malt (9.0 SRM) (Grain)","5 lbs - Pilsner (2 Row) Ger (2.0 SRM) (Grain)","12.0 oz - CaraBohemian (68.0 SRM) (Grain)","4.0 oz - Carafa I (337.0 SRM) (Grain)","1.0 oz - Perle [8.0%] - Boil 60 min (Hops)","0.5 oz - Crystal [3.5%] - Boil 15 min (Hops)","0.5 oz - Crystal [3.5%] - Boil 5 min (Hops)","0.2 oz - Celeia [4.5%] - Boil 5 min (Hops)","1 pkgs - Saflager Lager (DCL/Fermentis #W-34/70) (Yeast)","null","null","null","null"
"Ray's Billiards 8 Ball Brown Ale","https://beerrecipes.org/Recipe/2779/rays-billiards-8-ball-brown-ale.html","Beer Style: American Brown Ale (10C)

Recipe Type: partial mash

Yield: 5 US gallons","Original Gravity: 1.079 (19.0° P)
 Final Gravity: 1.016 SG (4.0° P)
 Alcohol by Vol: 8.4%
 Color SRM: 24.7  Color Sample 
 Bitterness IBU: 11.7
 Recipe Type: partial mash
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

1 reviews, Read the reviews","1 lbs - Caramel/Crystal Malt -120L (120.0 SRM) (Grain)","8.0 oz - Munich Caramel Malt (9.0 SRM) (Grain)","4.0 oz - Chocolate Malt (350.0 SRM) (Grain)","1 lbs - Bries Bavarian Wheat Dry Extract (8.0 SRM) (Grain)","6 lbs 9.6 oz - Bries BCW Golden Light Malt Extract (8.0 SRM) (Grain)","12.0 oz - Maple Syrup (35.0 SRM) (Grain)","0.8 oz - Northern Brewer [8.5%] - Boil 60 min (Hops)","1.0 oz - Hallertau [4.8%] - Boil 20 min (Hops)","1 pkgs - Safale American (DCL/Fermentis #US-05) (Yeast)","0.20 oz - Hazlenut Extract (Bottling 0 min) (Misc)","null","null","null"
"Sierra Nevada Porter Clone","https://beerrecipes.org/Recipe/376/sierra-nevada-porter-clone.html","Beer Style: Robust Porter (12B)

Recipe Type: all-grain

Yield: 5 US gallons","Original Gravity: 1.050
 Final Gravity: 1.017
 Alcohol by Vol: 4.32%
 Recipe Type: all-grain
 Yield: 5.00 US Gallons","5.0 stars based on 1 votes

No reviews","7 lb 2-row pale malt","12 oz Black patent malt","6 oz Barley flakes",".5 tsp gypsum","2 oz Cascades loose hops, 5.5% aa, 60 min boil (= 11 AAU)","0.5 oz English Fuggles plug hops, last 5 min of boil","Sierra Nevada Yeast","null","null","null","null","null","The yeast was cultured from two bottles (actually it was the yeast cake from a previous batch). 



Mashing procedure:



Mash in: 130 deg. F 9 qts water (San Diego tap water)

Protein rest: 125 deg F 30 min

Mash temp: 154-142 deg F 1.5 hr

Mash out: 168 deg F 5 min

Sparge: approx 4-5 gal @ 170 deg F





Total boil time of 1.25 hr, hops additions as noted above, chilled. Fermented in glass, temp in the low 60's Farenheit, blow-off used."
"Oatmeal Stout 8","https://beerrecipes.org/Recipe/463/oatmeal-stout-8.html","Beer Style: Oatmeal Stout (13C)

Recipe Type: all-grain

Yield: 5 US gallons","Source:
Anonymous","5.0 stars based on 3 votes

No reviews","5.5 lbs 2 row malted barely (2.5 kg)","1.0 lbs 1 minute oatmeal (500g)","1.0 lbs roasted barely (500g)","1.0 lbs chocolate malt (500g)","1.0 oz Fuggle hops - 60 min. (30g)","1.0 oz Golding hops - 30 min (30g)","Wyeast # 1098 British Ale OG 1.048 FG 1.018","null","null","null","null","null","I used a 50-65-70 (122-150-158) mash schedule and added the chocolate and roast barely at the 70 degree step and held until conversion (about 20 min.). I won't go into my full procedure because everyone has their own methods that they prefer."
